2017-11-9-10-54-3    UserID [12]    Transaction Complete 
2017-11-9-10-54-3    UserID [73]    Transaction Complete 
2017-11-9-10-54-3    UserID [99]    Transaction Complete 
2017-11-9-10-54-3    UserID [42]    Transaction Complete 
2017-11-9-10-54-3    UserID [81]    Transaction Complete 
2017-11-9-10-54-4    UserID [79]    Transaction Complete 
2017-11-9-10-54-4    UserID [90]    Transaction Complete 
2017-11-9-10-54-4    UserID [63]    Transaction Complete 
2017-11-9-10-54-4    UserID [54]    Transaction Complete 
2017-11-9-10-54-4    UserID [87]    Transaction Complete 
2017-11-9-10-54-4    UserID [3]    Transaction Complete 
2017-11-9-10-54-4    UserID [36]    Transaction Complete 
2017-11-9-10-54-4    UserID [20]    Transaction Complete 
2017-11-9-10-54-4    UserID [10]    Transaction Complete 
2017-11-9-10-54-4    UserID [67]    Transaction Complete 
2017-11-9-10-54-4    UserID [85]    Transaction Complete 
2017-11-9-10-54-4    UserID [11]    Transaction Complete 
2017-11-9-10-54-4    UserID [81]    Transaction Complete 
2017-11-9-10-54-4    UserID [51]    Transaction Complete 
2017-11-9-10-54-4    UserID [72]    Transaction Complete 
2017-11-9-10-54-4    UserID [6]    Transaction Complete 
2017-11-9-10-54-4    UserID [43]    Transaction Complete 
2017-11-9-10-54-4    UserID [48]    Transaction Complete 
2017-11-9-10-54-4    UserID [26]    Transaction Complete 
2017-11-9-10-54-4    UserID [47]    Transaction Complete 
2017-11-9-10-54-4    UserID [49]    Transaction Complete 
2017-11-9-10-54-4    UserID [13]    Transaction Complete 
2017-11-9-10-54-4    UserID [27]    Transaction Complete 
2017-11-9-10-54-4    UserID [4]    Transaction Complete 
2017-11-9-10-54-4    UserID [70]    Transaction Complete 
2017-11-9-10-54-4    UserID [88]    Transaction Complete 
2017-11-9-10-54-4    UserID [25]    Transaction Complete 
2017-11-9-10-54-4    UserID [30]    Transaction Complete 
2017-11-9-10-54-4    UserID [19]    Transaction Complete 
2017-11-9-10-54-4    UserID [65]    Transaction Complete 
2017-11-9-10-54-4    UserID [77]    Transaction Complete 
2017-11-9-10-54-4    UserID [71]    Transaction Complete 
2017-11-9-10-54-4    UserID [41]    Transaction Complete 
2017-11-9-10-54-4    UserID [33]    Transaction Complete 
2017-11-9-10-54-4    UserID [57]    Transaction Complete 
2017-11-9-10-54-4    UserID [50]    Transaction Complete 
2017-11-9-10-54-4    UserID [58]    Transaction Complete 
2017-11-9-10-54-4    UserID [89]    Transaction Complete 
2017-11-9-10-54-4    UserID [95]    Transaction Complete 
